country_code,ECONOMY,region,income_group,2014_GDP,2015_GDP,2016_GDP,2017_GDP,2018_GDP,2019_GDP,2020_GDP,2021_GDP
WSM,Samoa,East Asia & Pacific,Lower middle income,780.7667059,786.8854447,821.6375024,825.0650624,834.7690765,847.2395319,771.8299365,751.6469999
SMR,San Marino,Europe & Central Asia,High income,1844.843168,1418.829692,1467.345667,1528.621195,1655.354304,1616.23166,1555.132346,1729.645951
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,348.8995655,318.2573722,347.5474729,378.598871,415.3558306,430.633136,476.4621677,516.1556389
SAU,Saudi Arabia,Middle East & North Africa,High income,756350.3473,654269.7396,644935.682,688586.0944,786521.8899,792966.8382,700117.9233,830324.874
SEN,Senegal,Sub-Saharan Africa,Lower middle income,19770.92307,17761.40271,19040.31908,20996.56985,23116.70154,23306.21322,24412.4903,27510.8306
SRB,Serbia,Europe & Central Asia,Upper middle income,54127.18504,45949.26269,47370.80135,51359.84401,58519.42727,59413.44747,61069.51705,72121.30219
SYC,Seychelles,Sub-Saharan Africa,High income,1342.993794,1377.492466,1425.708688,1528.270954,1547.733407,1582.869257,1058.881171,1243.958737
SLE,Sierra Leone,Sub-Saharan Africa,Low income,5015.180997,4248.107974,3862.721373,3739.577962,4085.114769,4121.733685,3786.610511,4035.934306
SGP,Singapore,East Asia & Pacific,High income,314863.5808,307998.5453,318753.11,343331.535,375969.9248,374397.7422,339988.2104,385221.1333
SVK,Slovakia,Europe & Central Asia,High income,100954.7194,88601.28984,89614.05314,95393.51508,105612.7925,105284.3756,105172.5645,114904.0168
SVN,Slovenia,Europe & Central Asia,High income,49930.68501,43090.17339,44736.33352,48589.10004,54163.5917,54178.87761,53589.60958,59896.2187
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,1335.571357,1307.088634,1378.5467,1483.798754,1574.624734,1570.155017,1545.876236,1664.753416
SOM,Somalia,Sub-Saharan Africa,Low income,1651.085809,1454.779237,1508.539105,1620.100288,1672.044913,1831.616155,1873.1572,1969.867192
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,350637.6437,317415.6388,296340.9986,349006.6896,368093.9324,351430.9912,302141.2436,376600.9209
ESP,Spain,Europe & Central Asia,High income,1369398.845,1195119.27,1232076.017,1312539.279,1420994.143,1393046.093,1281484.64,1416075.462
LKA,Sri Lanka,South Asia,Lower middle income,79356.45832,80604.07656,82401.05507,87428.11756,87963.06544,83990.93287,80676.69943,82286.65217
SUR,Suriname,Latin America & Caribbean,Upper middle income,5563.824213,5126.238146,3140.683445,3392.950425,3771.43099,3977.099088,4119.779981,3165.540924
TJK,Tajikistan,Europe & Central Asia,Lower middle income,9477.768271,8271.431932,6992.416097,7536.403147,7765.000282,8300.81389,7996.848138,8091.16696
TZA,"Tanzania, United Republic of",Sub-Saharan Africa,Lower middle income,51239.54449,48562.17452,51035.87394,54723.79521,58624.28953,62832.5066,66463.13281,72391.54715
THA,Thailand,East Asia & Pacific,Upper middle income,407339.0976,401296.1837,413366.3458,456356.8128,506610.8522,544263.7387,501795.3915,504490.9538
TLS,TimorLeste,East Asia & Pacific,Lower middle income,1447.307074,1594.410884,1650.618495,1615.609697,1583.876223,2047.931733,1902.156815,2016.397385
TGO,Togo,Sub-Saharan Africa,Low income,5565.286562,5345.703674,6071.167584,6387.424244,6973.511022,6894.331919,7145.736991,7876.207331
TON,Tonga,East Asia & Pacific,Upper middle income,431.6675869,403.2490571,420.9083353,461.3240813,479.8500363,508.4147372,491.0702063,489.4384845
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,27642.52575,25191.55135,22373.56681,23180.10775,23820.91063,23886.5193,21392.53614,21291.42881
TUN,Tunisia,Middle East & North Africa,Lower middle income,47633.09232,43172.98158,41800.63624,39802.14307,39770.97952,39195.27109,39218.11765,43223.63687
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,43524.21053,36051.60213,36169.42857,38877.8547,38292.21837,43460.68636,42845.17392,51397.91248
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,841.07,942.07,1032.452,1022.365,1113.178,1197.415,924.583,1059.623963
TUV,Tuvalu,East Asia & Pacific,Upper middle income,37.58715136,36.19381146,41.29406622,45.27660572,48.10771269,54.17985362,54.81325009,63.31549947
UGA,Uganda,Sub-Saharan Africa,Low income,38986.72257,29296.8316,30517.25634,31578.95983,34065.70458,37718.3567,38702.21987,42587.08689
ARE,United Arab Emirates,Middle East & North Africa,High income,403137.2075,358134.9444,357045.156,385605.5069,422215.0436,417215.5595,358868.7652,418278.6569
GBR,United Kingdom,Europe & Central Asia,High income,3087165.603,2956573.779,2722851.958,2699016.715,2900791.443,2878673.912,2764197.654,3197047.453
USA,United States of America,North America,High income,17653132.8,18309398.5,18799442.7,19583068.53,20628084,21477496.6,20996884.3,23111314.64
URY,Uruguay,Latin America & Caribbean,High income,60484.77178,57080.75909,57236.65249,64233.96686,64515.12576,61231.1933,53628.83808,58993.57593
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,76658.54412,81847.40975,81779.01911,59159.9487,50392.61285,57726.54278,57707.18975,66076.92477
VUT,Vanuatu,East Asia & Pacific,Lower middle income,814.9504662,759.6892658,804.3281862,880.0469915,914.7011392,934.2397012,854.7936401,943.6101553
VNM,Viet Nam,East Asia & Pacific,Lower middle income,186204.6529,193241.1229,205276.1713,223779.8661,245213.6806,261921.2292,271158.4376,284733.5649
YEM,Yemen,Middle East & North Africa,Low income,33224.13258,26660.29629,22037.3316,20739.38062,22902.93706,25246.23812,27958.34401,33755.11267
ZMB,Zambia,Sub-Saharan Africa,Low income,26693.14236,20858.96374,21452.66408,25868.16149,26311.98474,23309.72045,18110.63684,20194.217
