country_code,YEARS,GDP_USdollars_millions,GDP_per_capita_Usdollars
BGD,2014,173061.5697,1109.644321
BGD,2015,194465.9811,1232.123051
BGD,2016,220315.8321,1378.830477
BGD,2017,245633.4889,1518.186976
BGD,2018,269627.6155,1647.245209
BGD,2019,301051.1018,1818.861609
BGD,2020,329484.1931,1967.998576
BGD,2021,365043.8423,2155.478999
BRB,2008,4784.95,17550.75467
BRB,2009,4465.65,16310.43387
BRB,2010,4529.93,16489.80201
BRB,2011,4657.7,16907.21126
BRB,2012,4610.095,16691.32902
BRB,2013,4677.25,16893.61241
BRB,2014,4696.345,16924.19268
BRB,2015,4715.005,16955.38742
BRB,2016,4829.32,17331.19444
BRB,2017,4985.965,17858.87237
BRB,2018,5122.9,18316.48122
BRB,2019,5297.95,18909.09415
BRB,2020,4439.724484,15817.01177
BRB,2021,4660.071093,16572.08781
BLR,2008,62807.17804,6416.867039
BLR,2009,50873.19016,5213.641376
BLR,2010,57231.90589,5881.142189
BLR,2011,61762.34255,6362.672653
BLR,2012,65685.90873,6776.109917
BLR,2013,75527.53444,7793.464734
BLR,2014,78813.05053,8130.304574
BLR,2015,56454.77726,5819.714748
BLR,2016,47723.54932,4915.843487
BLR,2017,54725.41881,5637.218565
BLR,2018,60031.0359,6191.59174
BLR,2019,64410.16947,6658.089989
BLR,2020,60258.85656,6254.980575
BLR,2021,66970.40511,6991.985534
BEL,2008,515242.61,48033.58362
BEL,2009,481316.9355,44560.78807
BEL,2010,480951.6295,44213.45586
BEL,2011,522645.5192,47705.16424
BEL,2012,496181.2603,44980.05693
BEL,2013,521642.7144,46981.05379
BEL,2014,534678.0758,47838.53692
BEL,2015,462149.6793,41086.16912
BEL,2016,475739.5888,42038.21534
BEL,2017,502764.7206,44162.25626
BEL,2018,543273.7946,47453.31585
BEL,2019,535288.7152,46504.10955
BEL,2020,521861.2926,45137.00626
BEL,2021,590422.8866,50848.46965
BLZ,2008,1352.588868,4424.982637
BLZ,2009,1320.605472,4203.460763
BLZ,2010,1387.925189,4308.908212
BLZ,2011,1466.82204,4451.146877
BLZ,2012,1531.348953,4543.266766
BLZ,2013,1581.844937,4589.208027
BLZ,2014,1676.406802,4757.991121
BLZ,2015,1734.320479,4819.283796
BLZ,2016,1796.928937,4892.091858
BLZ,2017,1844.906693,4923.782116
BLZ,2018,1887.465219,4940.154891
BLZ,2019,1945.250236,4999.42234
BLZ,2020,1585.631671,4015.060406
BLZ,2021,1691.662104,4228.827526
BEN,2008,7132.859564,800.8627846
BEN,2009,7097.232736,773.7500031
BEN,2010,6970.254725,737.9280886
BEN,2011,8292.591212,852.5876237
BEN,2012,9141.570859,912.8719448
BEN,2013,10888.94159,1056.283518
BEN,2014,12144.8772,1144.140903
BEN,2015,11379.54464,1040.864402
BEN,2016,11821.06585,1049.820303
