"MEASURE - Productive Capacities Index"

CATEGORY,"Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change"
"Burkina Faso",17.8291762462,17.8377917456,17.9230497987,17.6977775626,17.7081151135,17.659197689,18.2112739077,19.2220657093,19.6868591224,20.0124653962,20.3911692103,20.3278590005,20.0896635711,20.3906300239,21.0112932131,20.8693793282,21.0555516177,21.5174222774,21.7020903872,20.3996434585,20.7018328711,22.0054655598,22.4289038192,23.65578863,24.4970447243,24.7369411196,25.5547119046,26.8822350383,28.1774209126,28.7986008372,28.3354958348,29.1061014351,30.0741197272,30.0013988699,30.772516156,31.4185892816,32.0896982894,32.8345709863,55.2390490447,55.7225123693,55.9222138045,56.9817661926,56.2732938236,56.8060190456,56.5777701818,56.8974327132,58.2832461252,58.6709570577,59.9771249173,60.7083114492,60.730947156,60.4363333165,60.2538841274,61.2620849322,61.2622219365,61.5168892855,61.77171273,13.3077944044,13.8168941879,13.4092999311,13.0290450949,12.5268269622,12.3557282781,12.3745031716,12.8104973901,12.5747487195,12.1014416426,13.0484931573,12.2767667398,12.2210430797,12.5605560577,14.7270178362,14.8054524045,14.8068254118,14.5560807667,14.4081206863,7.7145219928,7.6654538605,7.6207736516,7.5874817681,7.5546672218,7.5208606112,7.4865816405,10.2412552721,10.4245527562,10.2698826707,10.2158564962,10.1280339656,10.0308465577,9.159168147100001,9.128877594600001,7.7939892798,8.4615986398,8.4281597221,8.391034723400001,2.8090790503,2.8264173373,2.8370213571,2.8724475908,2.9138389311,2.9599754153,3.0333576591,3.1920036074,3.4015269607,3.5251819454,3.8592024957,4.1550526467,4.4886277033,4.9335907578,5.0587804667,5.3557428189,5.572104249,5.777278434,5.9813041552,49.0290240528,48.02817643,47.0273288073,48.6845402393,47.2201288149,46.9355305056,47.1811250522,48.193688216,49.2881851804,49.3543075608,48.8579325396,46.5151194315,45.6001617477,44.2248873643,43.772435214,45.7180449738,46.130835715,46.1638840107,46.5009662876,64.8996675688,64.86820380899999,64.815767577,64.9574154638,65.0482576031,65.0677196616,65.3188509511,65.6718367917,65.6412456242,66.9155654432,66.332091678,66.346099137,66.6535294713,66.0091993003,66.7139884092,66.81951415100001,66.9196660511,66.97892026789999,67.03817448469999,9.874307978999999,9.5274496618,9.7922303828,8.3853990001,8.575394939600001,8.0903700474,9.981343541199999,9.6713013498,9.982792787299999,10.7558316121,10.3797885337,10.6306281997,8.9750781036,9.923272219199999,10.5803508861,10.1094916461,9.3126839893,10.6223583165,10.7618926095
"Burundi",17.1743595558,17.5753537247,17.4119324111,17.6119712759,17.8325702104,18.0665587773,19.5733053731,19.5414103923,19.6740505945,19.6802266646,18.8268451397,19.3911402422,19.5971447438,19.562684759,20.1249918965,20.201772624,20.5406088018,20.5908717158,20.7885735325,19.1527776628,19.3921145034,19.9318464981,20.8692177406,23.0505165753,25.6983433441,29.6640573923,29.9607544091,29.5813407356,30.7459921266,33.1994657112,33.9531757737,34.232777498,34.8331529192,35.2034828503,35.5094697972,35.8914163021,36.2575580937,36.6106880104,69.0349952805,71.11256323569999,72.1420922539,77.24468377149999,74.6775794954,74.0202930154,72.8970716684,73.5296432403,72.9570176177,70.7287573048,68.5461491838,68.2233810003,65.8512214248,67.35041666959999,66.8688700793,67.54597683270001,67.54563616510001,67.5459081727,67.54610831319999,14.6679399724,14.4491437238,14.1731622099,14.4237288787,14.2185637344,14.2658894942,14.4330058768,14.495504626,14.1470747184,14.4659408502,14.6833006782,14.5776391154,15.3979392051,15.3650481948,14.562629686,14.5295208211,14.7931040936,14.8089584931,14.8156577091,15.2664852685,15.1400383358,15.0824461714,14.8565860968,14.4504634749,14.4175426422,14.4355961985,14.4022725206,14.4081241931,14.4111394249,9.2952241606,10.3021283538,10.3158151308,10.3852340462,10.3385189908,10.3916967197,12.7209670644,12.7209670644,12.7209670644,2.7955048586,2.802932164,2.8107985562,2.8204792867,2.8438880445,2.8683498688,2.8860793317,2.9060842232,2.97326534,3.0891498389,3.2756289128,3.3197174723,3.3773939588,3.4346452341,3.570620701,4.1456388856,4.2040546176,4.3360986849,4.4675371518,24.5647226112,24.6456397862,24.7265569611,24.318018654,22.7223396677,29.3219974635,30.6344135702,29.3895038589,29.6144701707,30.8340042837,28.3649895561,28.5008372474,27.3897881241,29.8648351713,32.8645383406,27.2468747944,23.958641589,24.7543572921,25.5538163545,62.3078324205,62.2685980495,62.4709045726,62.4619420199,62.3214998101,62.5176406661,62.7109203541,62.6575924905,61.429690926,63.0206016607,63.2089858658,63.7271352814,64.9885516177,65.3598776059,65.7077928893,65.5898001529,65.6295061423,66.0211769398,66.32889217890001,5.9747590328,7.015687539,6.3303804076,6.2549784622,7.1795909287,5.5173333448,8.6242277109,8.639597741799999,9.4335528918,8.2691291811,8.652996743399999,9.5305035815,10.1056214603,8.546555683599999,9.846680044199999,10.3392712011,10.5077439449,9.8837453492,9.8837453492
"Cabo Verde",27.9980636087,28.0637881701,28.1996017029,28.2377389199,28.5455874741,28.5345863005,28.8068796268,29.4183711251,29.5282002849,29.9992851734,30.4591530454,30.692002851,30.8785460254,30.0549272189,30.2140524974,30.4666871386,30.7424234842,30.9028774188,31.1146595427,42.2920718977,42.7226186324,43.2005782476,43.1315612775,43.246973368,43.4453033134,43.6230602004,43.1531755054,43.3163841771,43.7129399256,44.4084710837,44.6409316477,44.559160265,44.8242916159,45.2974675813,45.4074742265,45.5605291648,45.7207292576,45.8728042324,46.9795290427,47.0225269578,47.0276822363,47.0505435301,47.0522715252,47.0269157272,47.026363899,47.0154725471,47.087438707,47.096800296,47.0716968568,46.9864666323,47.2165910945,47.17099192,46.9385149426,46.9784807002,46.9800690196,46.9713210717,46.9625731239,24.7346039519,25.1187380496,25.7217634566,24.3179040756,24.5348185892,25.0475787305,25.5969059232,26.0921319722,25.5876677463,26.2211736271,27.1164310935,27.1797188139,27.2662581245,23.4203430285,23.7453949791,23.726621738,23.7361358535,23.8035300764,23.9045624729,18.8623997514,17.7864451783,17.7329582036,17.8389845715,19.3931253069,20.0507587649,18.6923248591,18.9119523205,16.8646158296,16.7141164621,15.8038432592,15.8438028251,15.9981847017,14.7839049562,14.6676028512,14.672660687,15.7452550832,15.7452550832,15.7452506015,4.2070355016,4.5099057402,4.72029884,4.8231641508,4.9265617077,5.0483287597,5.2377963131,5.5951607346,6.6474913476,7.2591672673,8.3352586324,8.771360593000001,8.925391382200001,9.364241599,9.865427931399999,10.1520544771,10.2476806848,10.6028445064,10.9665242082,69.03254909250001,65.7188058288,62.4050625651,62.9837824132,62.7707236786,60.930559593,66.8221519114,67.80218768180001,66.9746443353,66.9245631373,66.1666682794,67.4509034531,67.343843412,66.38501237680001,65.46190803410001,67.0582992227,65.7194346572,65.9981729519,66.6305021326,78.91945170050001,78.46119942,78.607506806,78.6927200642,78.8037445035,78.8674185509,79.3881980309,80.49562823399999,80.7762257349,81.8681796968,82.44250844450001,82.6349719853,82.56341333490001,82.5563989317,82.1330553498,82.05860249769999,82.0320978873,82.1028148835,82.1028148835,17.772163265,18.4334860241,18.6365444503,19.208255115,18.6851675901,17.6565695376,17.3874708346,18.3493597599,18.2591118844,18.2794363364,18.1891381409,17.8308806369,18.1473852293,17.7198971213,17.6810259148,17.893701113,18.0525873362,17.9863072701,18.0585443884
"Cambodia",19.5906876513,19.7649084973,20.0186467472,20.0091567905,20.422038023,20.3902097211,20.6876696623,20.9764068301,21.680429985,21.9243052226,22.1244226852,23.0239298436,24.1828505617,24.0509503535,24.6928137357,25.8487905703,25.9645537195,26.2237211053,26.4598406489,32.9603938857,33.9969244059,35.8197120946,37.2520305591,37.7957190216,38.0312971563,37.7243923166,37.71952188,41.4277003789,42.442516948,41.0640049357,41.3820320959,42.2935531847,42.5388719406,42.5829016063,42.8698310087,43.0341741569,43.3745437927,43.532654137,45.3714536171,45.2582501083,45.2742780147,45.7153146406,45.525224231,45.439109794,45.5867793404,45.6348473,46.0007423379,46.5602638005,47.983062562,46.6586789689,46.3977124644,46.2313240878,46.4707848047,46.4815416025,46.4816179781,46.9225804546,47.0768711836,17.8662768045,18.1178629204,17.4793360504,17.310719741,18.4572009249,18.8859209141,19.4082307274,19.4869838134,20.1417977231,19.3591792122,16.565071787,17.1806558632,19.2604328742,17.5094510605,19.2255493686,19.4338161939,19.4338161939,19.709247886,19.8818738458,10.861807156,10.8422638163,10.8209970295,10.8851064624,10.8609157691,10.8691052035,10.8902523404,10.9083588542,10.9170223918,10.9285837719,11.8765855921,12.2819329688,12.2700668193,12.305473114,12.3860975063,16.210157898,16.1461591009,16.1461591009,16.1461591009,2.8145569507,2.8346512956,2.8727111979,2.8883722533,2.9577979512,2.9915917017,3.1078753772,3.2669379171,3.552535298,3.9026113288,4.4460933511,5.5288510176,6.4783495422,6.5975140789,6.9860280936,7.2375343997,7.4311064763,7.5607187244,7.7644156959,37.798006405,37.4813672125,37.16472802,35.746526543,35.9461341061,34.5629053176,34.6601846969,36.16970734,35.6678403246,35.3545738426,35.2939812541,36.210464823,38.758527717,38.2048333022,38.6897539614,38.3161640118,37.7116738476,37.9771552661,38.2202188286,70.5185667679,70.50087007259999,70.5171461403,70.5626257039,70.6541838799,70.88196921060001,72.9545064252,73.2682173811,76.9732081702,77.03047994569999,77.40459714230001,77.4397004726,77.746199167,78.5646264655,79.10217551069999,80.0934314388,80.1194741633,80.72737633129999,81.3077569407,9.965607963,10.2869018051,11.1684843467,10.9902882518,11.6763491931,11.4927059113,11.7452140998,11.8326074261,11.9434619018,12.0136732574,12.1925740378,12.5012160516,12.9200861319,13.3425580929,13.7189669138,14.2946862267,14.6574184438,14.896769667,15.1361208901
"Cameroon",19.8074134871,19.8010234467,19.8221003015,20.1214697021,20.3332143283,20.1344282793,20.1963376219,20.7171746321,21.4237983376,21.8423597861,21.891891504,22.1586243049,22.4000828941,22.6628723631,22.9609698713,23.1461006616,23.3351176612,23.4843732164,23.5965665057,27.3555937631,28.9462934962,28.6329137594,28.8189966216,28.8357316579,28.6895767299,29.0775820039,30.3047806726,31.3579070676,32.2204507811,33.2306766506,33.1276179572,34.4596319785,35.4161733894,36.0176581316,36.2951910523,36.5612530991,37.3542303927,38.2271027901,47.6136393794,46.3728404253,46.1581819187,46.236724183,46.5049050881,47.1039579646,47.5110522952,47.6867302614,48.0496423068,46.9003330231,47.4291499787,47.9266804764,48.1656488219,47.751603064,47.5997273103,47.1390638014,47.1391497421,47.6812077666,47.9195115679,17.4094453489,16.924995051,17.3245370626,17.2700907138,18.2941523183,18.6099752481,19.7871670895,20.717997882,20.8664905577,20.9946398602,21.0264808742,21.1922056997,21.3260933906,21.4286786538,21.5205685819,21.5500778682,21.5500778682,21.6449872019,21.6627279929,9.5342756492,9.545920624300001,9.499221356,9.466801689,9.4408458907,8.801760987,7.9422853231,7.9470478503,9.2345586827,9.1988503849,9.0991974681,9.0832647795,9.0674034006,9.045393667800001,9.0200752538,8.9943326911,9.445777726599999,9.2002798099,8.807785344099999,2.8437720681,2.8950420622,2.939172307,2.9913983189,3.0706859039,3.1825140789,3.3384683503,3.5816225328,3.821211253,4.129328832,4.251831274,4.5320129119,4.9584243387,5.3604869236,5.9511466853,6.1161679325,6.2885208387,6.6115184816,6.9841674898,34.8106116732,33.7963133607,32.7820150482,35.8015892308,35.9928672194,34.2415227244,34.8116029229,35.0171333709,34.7512761241,35.2103855029,34.112036025,33.8686112381,33.3340109765,33.5332712259,33.584195423,33.7567159198,33.7663868824,33.3531639628,33.2543496274,72.82568623189999,72.860883681,72.8776727449,72.89872497979999,72.8674818838,72.9042396335,72.8858478722,73.0915633322,72.7540064101,73.8469416688,74.12836318380001,74.43801740150001,74.4384028528,74.4711969458,74.5098435333,74.54945827029999,74.56805729920001,74.6440989484,74.7201405977,15.2013078602,15.2854924632,15.6055213087,15.7985524981,15.6642559127,15.3582354687,15.0516613374,15.5580175647,15.8212308628,16.5334758886,16.2721153473,16.6445989246,16.051898272,15.8576442342,15.5879403925,16.1395264055,15.8272204859,15.8472038492,15.8462350283
"Canada",37.7685311079,38.4712302844,37.521458469,39.0957819057,41.454610098,39.3667964112,39.5816945708,41.9589776372,40.0171075557,40.1420722516,40.4337935028,40.6077766244,40.3953735141,40.1072540132,42.0780001728,43.2015585688,43.3529688442,42.283434561,42.3007214616,68.4831085334,69.80505606929999,69.8815949538,70.3702422125,70.9477295964,71.1627028243,71.33327877080001,71.6624850075,71.9562497491,72.5579241989,72.767906869,72.7445688726,72.3416920316,71.8702046818,72.15662984470001,72.0583769612,72.2399594469,72.44854835549999,72.6571372641,43.8481892265,43.6964306146,43.3944359781,43.4518202159,43.8203328824,43.8194246387,43.721798125,43.6236257458,43.898047047,43.0245594574,43.1191177447,43.1969902457,43.0066318143,43.0802006953,43.0686598566,42.6904341697,42.6904418351,42.6859475809,42.6814138071,38.5728940228,38.2360982942,38.1783050364,38.8731976034,38.9708005119,38.6556205556,38.3131822519,38.8661999877,38.5308128883,37.7826003373,37.9596436733,38.1073889529,37.9481788553,37.8296764852,37.7319368556,37.6048941738,37.6048941738,37.6233085917,37.6417230096,11.7802143868,11.6686754541,9.1324111518,12.0951898037,18.3158564862,11.9750416021,11.9971296365,18.7006482071,12.6622795659,12.5711067313,13.0499017389,13.0519695224,13.086065416,12.9707502757,19.0741580496,23.2071682358,23.8729777816,19.5012470323,19.5012470323,14.4946829661,15.8973325421,16.4114871265,17.3270128588,18.2952372675,18.9341709634,19.7323667366,20.7495228786,21.5692596103,22.3352968342,23.1453238044,23.7974369635,23.3699416773,22.829882457,23.3798316518,23.6694744368,23.550136566,23.6812394315,23.8294421422,93.0329888981,93.00163313669999,92.9702773753,92.7283223422,91.8277215852,90.7521751427,92.0620240888,91.65653857309999,92.1306142305,92.61524833119999,91.9751395115,91.8699335174,92.1440091266,92.02606708250001,92.9064694307,92.94619015879999,93.0980077518,92.92851010840001,92.7592740401,84.8675409918,88.89589746199999,88.624513326,88.3323905054,88.47396851320001,88.8713602607,89.67947885709999,86.4033475709,85.3599665356,85.62878631450001,85.62878631450001,85.62878631450001,85.62878631450001,85.5638507316,82.3981841983,81.758831507,81.4746833925,81.1110835769,80.7546195271,26.5144667106,26.8265036571,27.4784864261,26.7499619736,26.4407994175,26.167765744,25.7980282783,25.7308825178,25.1558111901,25.6706966088,25.2152505571,25.2703355972,24.887678336,24.5162614829,24.5495579251,25.1280546195,25.2310394418,25.228676203,25.2286869071
"Cayman Islands",29.8508715218,29.8731378852,29.9382118863,30.0473096145,30.2691535181,30.889642145,31.2883947194,31.9275405214,32.0309513554,32.4629126576,31.4247465633,31.6204548889,32.1378119408,32.1914268346,32.6387806348,32.8703096013,33.0152582952,33.2295891516,33.4038132613,40.1835567116,40.7841020906,41.0602277002,41.5170786544,42.1877973196,42.8975721575,43.1619563215,44.3171167173,45.141458295,45.4480677494,44.8780288977,44.5749152666,44.6352266597,44.773441806,44.8324989569,44.908449119,45.2026535432,45.2192709834,45.303224207,45.7309277673,45.843185803,45.9016299343,45.9367124503,45.9662315968,45.884392265,46.2319596608,46.3568371312,46.0337045654,45.750380369,46.0370382261,46.0862305004,45.8581684017,45.7912316582,45.7939292063,45.6448073195,45.6338480783,45.6586781441,45.5298109143,21.5195817253,21.2794691202,20.8393651074,20.8680674354,20.591613071,21.8099841116,21.7157122284,21.7213219467,20.8454031571,21.1329740926,20.6595828693,19.9982944361,20.3371081197,19.9004180775,19.1367747304,19.2116493622,19.1549413644,19.1865219655,19.141967724,24.4309947112,24.2149407679,23.8464554302,23.6547932578,23.8777535321,25.4784448417,25.6714207955,26.7073770364,26.5971504472,28.7072998475,28.2672779754,29.2961542081,31.5065817323,32.4801694663,36.8781870842,36.9264728392,36.9698069654,37.5350373785,38.1002677915,8.0702295167,8.3143722714,8.7091741561,8.884777825600001,9.450188658,9.7811778896,10.3731158764,11.0184645276,11.2915411488,11.4919712204,9.6081966323,10.0336715009,10.4855923494,10.653951018,10.9040343017,11.5937392469,12.0637065828,12.4118141127,12.7590216958,57.534078475,57.0197970933,56.5081152891,56.1478098087,55.089182397,54.7489719578,54.6403012109,55.0682403574,54.6307935737,54.0626608332,53.8968002823,54.0322739166,53.8269918626,53.5965127862,53.0130482131,53.2943376058,53.0845589599,53.0587641181,52.9607894468,74.89746251690001,74.8442940704,76.2008054472,76.33116182009999,76.7203550957,76.78571647530001,77.2652181144,77.9877728618,78.1194635218,78.65267538489999,78.9746410134,78.952126307,79.3349105571,79.5790332878,79.7181832519,79.6790625333,79.6477244478,79.95009320290001,80.21186238670001,18.7648288761,18.5533792349,18.3739158954,18.5342657479,18.5044087237,18.4301761829,18.8535222906,19.1457391838,19.9577602138,20.0092735199,19.2723669927,19.4000418943,19.3770692163,19.1510518162,19.2887845282,19.0352958408,18.9459423284,18.9892760693,19.0115876033
"Central African Republic",17.7993605317,17.9312315734,17.4226308335,17.5571598556,16.3928292451,16.6147662716,16.5822336848,16.8575655465,17.1850201873,17.2996945966,17.5513561225,17.7665610967,17.8034975747,17.8496756134,17.0911592114,17.7423280262,18.909622303,17.9997857792,18.059150988,21.8962919859,21.8225842072,22.1704826738,22.4054375893,22.6070663124,22.8050596838,23.0654513052,23.5600116188,24.052625616,24.0955017794,24.9518229917,25.4503157906,25.709102056,25.6017950465,26.012173668,26.8612226793,27.3449075514,27.6793303593,28.1266997354,51.9887272869,51.9601522535,52.102421747,52.5416419473,51.7108165359,51.7909895144,52.1611192319,52.2410134904,52.3272074144,51.5434908511,51.2182721953,51.7463694716,51.9829574675,55.8720763743,55.2765681202,56.1286769403,56.1291839995,56.1330044825,56.1368249655,15.7732784384,15.4962171544,15.4530947652,15.4584500873,14.6829229293,14.745446431,15.3919110733,15.9603977338,15.9567876262,16.3538649846,16.6905194841,16.9289514166,17.2951339646,17.2699203522,16.719281365,16.7355338749,16.6552694124,16.6331919058,16.6111143993,8.777993241500001,8.727908719,8.839151087499999,8.774942328,8.4328137818,8.3531891618,8.1892299988,8.1904728013,8.472522062,8.453663858500001,8.4289731619,8.452459074,8.5214206134,8.566186137100001,8.486538943999999,8.5650431632,14.1322918337,9.026700566400001,9.026893251700001,2.7985967063,2.8015037076,2.8050246906,2.8233186869,2.8410748852,2.8659669952,2.8687802218,2.9977018071,3.155255597,3.3525055492,3.3994664637,3.4104382094,3.5241693518,3.6437065872,3.5403754161,3.589184822,3.5933496982,3.6468363326,3.6989059431,30.7175452558,28.8972242824,27.076903309,25.2487837922,23.2767049199,24.6558212598,23.6417303821,23.0946572056,25.3588533742,25.7343178533,25.6896933438,26.7637650514,25.0002087279,20.3727858718,17.1647655992,19.9517273338,20.4573455138,20.7177627572,20.9291584708,55.7132167151,55.782036058,55.7684571013,55.7857720706,55.8350992273,55.8218886738,55.8121329882,55.8161514462,54.0459662663,53.5702383493,53.4015648247,53.5209815005,53.6361901808,55.7387757167,53.3125291145,53.228001314,53.2408654432,53.4812549334,53.3194358336,13.346062871,15.4321622206,12.7035903458,14.218147094,9.7568406805,10.1195929034,9.9585158306,10.4896075756,10.3377185983,10.1094274383,10.7396476171,10.7834897682,10.8442740945,11.7692370578,11.0151330642,11.9203400058,11.5621744441,11.6895951953,11.5761550138
"Chad",16.7586883596,16.6316409331,14.3992433023,14.4731002476,13.5000695581,13.7120468545,12.7199693864,12.5765224355,13.323235578,14.2770217061,14.2210239144,14.7760951572,15.7261076537,15.7812044082,15.8872310783,15.6634428373,16.6974102492,16.9103684976,17.1442842759,21.5796101941,21.8293368823,23.6990656877,22.092881277,22.5080763982,21.4324352515,21.3934720158,22.1917244015,22.6044384635,23.9363085863,24.1665885777,25.4055647357,25.9146239976,26.8230181836,27.4719401752,28.0712008829,28.5478324646,29.1163593013,29.6768775856,60.9653753318,60.2580364014,59.9334881347,61.1448456164,66.2466707366,66.2271164413,65.6463199926,65.2105740695,65.6019035849,61.6695886139,62.4738155513,64.2950699167,63.6870916327,62.0947353111,61.4002348536,59.5660130025,59.5655626858,59.9650232011,60.2022426599,13.61377799,13.2202333435,13.3356685451,13.3948753587,13.2248226377,13.1327495396,12.8166904812,14.4106079987,14.5343813578,14.338506148,14.0381330578,14.4871555239,14.5102489631,13.89984728,12.9633022914,12.9718144334,12.8769779854,13.095969313,13.2425106424,6.8235190203,6.8711418184,6.9115713656,6.9588092743,7.0748362531,7.1295593791,7.1054429527,7.0795586087,7.0389170255,7.0087145501,6.9738896918,6.924343667,9.306011954900001,10.3590391174,10.3452863952,9.954695995,13.5765738372,14.0007852337,14.4249966302,2.7733147402,2.7783203011,2.7896471277,2.8059153902,2.8222079981,2.8431011907,2.9162540694,3.0380551193,3.2072494993,3.364988693,3.4705883109,3.6206815208,3.7497259908,3.7733745019,3.8821227866,3.9231455016,4.1082699151,4.2423672008,4.4116806025,33.5146549052,32.3057440821,31.096833259,28.2754862974,26.695325666,23.5040559977,22.3832982041,21.3941284692,20.2516663022,23.0558178658,23.8919606802,25.4864905484,25.8729641618,26.5050371019,25.1022423876,26.6503560095,24.4932087126,24.3130740617,24.1085748938,44.7050781868,44.7484491352,44.7420823012,44.7412003723,44.68763126,44.6577443546,44.6412652259,44.6504730621,43.0606302169,43.3469436484,39.4097927251,39.6997003998,39.5471471726,38.1873249948,39.643861363,39.6716768589,39.7421084859,39.6587279148,39.5909937737,12.2522404611,12.1988025376,3.6370005174,4.3073925673,2.3489176218,3.1510890492,1.8388397494,1.4607324817,2.3398671735,3.4602528055,3.4632997729,3.7854854255,4.3749619054,4.200023022,4.6441948556,4.0456803916,5.0823533709,5.1063731081,5.1935694452
"Chile",31.1599887905,31.568307515,31.8691802361,32.1000179941,32.3202916239,32.6839653742,32.9285749425,33.4101712738,33.6666504847,33.6210887712,34.0496858486,35.0711714379,35.3792360065,35.2122926558,35.4870091545,35.7032671897,36.2702550685,36.4442882896,36.608656993,49.5514691012,49.9160279476,50.6102432178,51.4785855051,51.6098110054,51.9083492465,51.6627551359,52.2549914003,53.1440417807,53.2154090776,53.1430098825,53.574001119,54.0556710348,54.9687447893,55.5048369301,55.885745965,56.0214120764,56.3477642817,56.6426322065,55.9040280022,55.7624535492,55.4523822139,55.7877250579,57.1309174308,56.8904320495,58.4883822455,58.3326329978,57.4882129113,56.4624942823,56.9428434199,56.5979598286,55.899103333,55.6484650111,55.49734392,54.7926766277,54.7926833504,54.6626399467,54.532596543,29.1409339986,29.082662109,29.2770737457,29.4905437189,29.2347048762,29.122291479,29.2035383,29.5447145831,29.5988436093,29.1376020572,30.0549948085,30.2654148963,30.5864288516,30.2727298279,30.6125869535,30.7747207746,30.7747207746,30.7550216742,30.746940647,11.8044975116,11.7298109808,11.5675189708,11.611861728,11.6008990283,11.6605417489,11.6464014874,11.8620146595,11.8996927593,11.4914375488,11.6950606407,13.5048708347,13.889531941,13.0717476764,13.0621701054,13.6808552052,15.4445442409,15.262608288,15.1411823095,6.5267264517,7.0664755914,7.4930096372,7.8363886738,8.435101636500001,9.059445841900001,9.720503257500001,10.3030300974,10.6226309419,11.2866683348,11.9057499016,12.7971896692,13.25566358,13.5086552625,13.9475109227,14.2734414501,14.4545665468,14.7758737846,15.0972150772,81.2934980884,82.856105751,84.4187134136,82.1957110188,82.5714851906,83.6355016524,81.5913119895,81.8824980033,81.2975252496,81.9226293191,83.07412523559999,82.4613028556,82.75092702169999,82.5283062603,82.2914588922,80.019350594,78.5675298825,80.6582090933,81.7798225746,83.26421996009999,83.7658389713,83.8317851373,83.9204970502,83.9179821555,83.9470482018,84.025339878,84.32503637000001,84.8266483917,84.9280197495,84.9223898115,85.77143728439999,86.03965510810001,86.1117448254,86.4827391387,86.5158315632,86.5946031205,86.74314042579999,86.89167773120001,21.1114514839,21.1791730894,21.1123649703,21.2060187999,20.3719635089,20.4154746852,20.182090083,20.4286379373,20.9369624593,20.6655947925,20.2234712671,20.4034104493,20.260591116,20.3386784904,20.571022709,20.7259018488,20.8746902682,20.8202917848,20.9116298946
